,coaster_name,Location,Status,Manufacturer,Model,Lift/launch system,Trains,Designer,year_introduced,latitude,longitude,track_type,opening_date_clean,speed_mph,height_ft,Inversions_clean,Gforce_clean,Length_ft,Height_restriction_in,Cost_USD,Acceleration_clean,Max_vertical_angle,Duration_seconds,Capacity_riders_per_hour,Drop_ft
319,Eagle Fortress,Everland,Removed,Arrow Dynamics,Suspended looping coaster,Unknown,Unknown,Unknown,1992,40.2864,-76.6531,Steel,1992-09-08,40.0,91.9,0,4.0,3200.0,48.0,8540000.0,9.1,65.0,118.0,1080,92.0
320,Flashback (Six Flags Magic Mountain),Other,Unknown,Intamin,Space Diver,Chain lift hill,3 trains with 5 cars. Riders are arranged 4 across in a single row for a total of 20 riders per train.,Werner Stengel,1992,40.2864,-76.6531,Steel,Unknown,35.0,91.9,0,3.0,1900.0,48.0,4000000.0,9.1,89.0,90.0,1100,34.0
322,Jupiter (roller coaster),Kijima Kogen,Operating,Intamin,Unknown,Unknown,Unknown,Curtis D. Summers,1992,33.2617,131.4281,Wood,1992-01-01,56.5,137.8,0,4.0,5200.0,11.0,2.5,9.1,45.0,154.0,1080,92.0
323,Kingdom Coaster,Dutch Wonderland,Operating,Custom Coasters International,Unknown,Unknown,Unknown,Unknown,1992,40.0295,-76.2173,Wood,1992-05-16,40.0,91.9,0,4.0,2200.0,46.0,8540000.0,9.1,65.0,90.0,1080,92.0
324,Pepsi Orange Streak,Nickelodeon Universe,Operating,Zierer,Unknown,Friction Wheels,2 trains with 15 cars. Riders are arranged 2 across in a single row for a total of 30 riders per train.,Werner Stengel,1992,40.2864,-76.6531,Steel,1992-08-11,40.0,91.9,0,4.0,2680.0,48.0,8540000.0,9.1,65.0,150.0,1000,40.0
325,Pipeline Express,Boardwalk Fun Park,Removed,"Bailey Rides, Inc.",Auto Sled,Cart return (no lift),Unknown,Ken Bailey,1992,32.761,-96.997,Steel,1992-07-23,15.0,91.9,0,4.0,1200.0,36.0,450.0,9.1,65.0,60.0,1080,92.0
326,The Rattler (roller coaster),Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,I-Box,Chain lift hill,2 Gerstlauer trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Alan Schilke,1992,40.2864,-76.6531,Steel,2013-05-25,70.0,91.9,1,4.0,3266.0,48.0,10000000.0,9.1,81.0,105.0,850,171.0
327,Runaway Mine Train (Alton Towers),Alton Towers,Operating,Mack Rides,Powered Coaster,Onboard motors,Unknown,Unknown,1992,52.9897,-1.8856,Steel,1992-03-21,22.4,91.9,0,2.4,1000.0,11.0,1250000.0,9.1,29.0,110.0,1062,36.0
328,Sierra Tonante,Mirabilandia,Removed,S.D.C.,Unknown,Chain lift hill,Unknown,William CobbWerner Stengel,1992,44.3361,12.2619,Wood,1992-01-01,62.1,91.9,0,4.0,3280.8,48.0,8540000.0,9.1,65.0,90.0,1200,92.0
329,Streamliner Coaster,Six Flags Fiesta Texas,Operating,Vekoma,Junior Coaster (85m),Unknown,Single train with 5 cars. Riders are arranged 2 across in a single row for a total of 10 riders per train.,Unknown,1992,29.5965,-98.6099,Steel,1992-03-14,49.7,91.9,0,4.0,278.8,36.0,8540000.0,9.1,65.0,105.0,670,92.0
330,Vortex (Carowinds),Carowinds,Operating,Bolliger & Mabillard,Stand-Up,Chain lift hill,Unknown,Werner Stengel,1992,35.1036,-80.9416,Steel,1992-03-14,50.0,91.9,2,4.0,2040.0,54.0,5500000.0,9.1,65.0,139.0,1080,92.0
331,Batman The Escape,Other,Unknown,Intamin,Unknown,Unknown,2 trains with 5 cars. Riders are arranged 4 across in a single row for a total of 20 riders per train.,Unknown,1993,40.2864,-76.6531,Steel,Unknown,55.0,91.9,1,3.4,2300.0,54.0,8540000.0,9.1,65.0,138.0,1080,85.0
332,Batman: The Ride,Other,Unknown,Bolliger & Mabillard,Inverted Coaster – Batman,Chain lift hill,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Werner Stengel,1993,40.2864,-76.6531,Steel,Unknown,50.0,91.9,5,4.0,2700.0,54.0,8540000.0,9.1,65.0,105.0,1400,84.5
333,Bocaraca,Other,Unknown,Vekoma,Whirlwind,Chain lift hill,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Unknown,1993,40.2864,-76.6531,Steel,Unknown,37.3,91.9,2,4.0,1148.3,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
334,Canyon Blaster (Adventuredome),Adventuredome,Operating,Arrow Dynamics,Unknown,Chain,Unknown,Unknown,1993,36.1381,-115.1664,Steel,1993-08-23,41.0,91.9,4,3.5,2423.0,48.0,8540000.0,9.1,53.0,90.0,1080,66.0
335,Cosmic Coaster (Worlds of Fun),Worlds of Fun,Operating,Preston & Barbieri,Wacky Worm,Unknown,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Unknown,1993,39.1723,-94.4889,Steel,1993-04-03,49.7,91.9,0,4.0,444.0,48.0,8540000.0,9.1,65.0,55.0,1080,92.0
336,Flight Deck (California's Great America),California's Great America,Operating,Bolliger & Mabillard,Custom,Unknown,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Werner Stengel,1993,37.3981,-121.9718,Steel,1993-03-20,50.0,91.9,3,4.5,2260.0,54.0,8540000.0,9.1,65.0,146.0,1330,91.0
337,Gadget's Go Coaster,Other,Unknown,Vekoma,Junior Coaster (207m),Unknown,2 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,Walt Disney Imagineering,1993,40.2864,-76.6531,Steel,Unknown,21.7,91.9,0,4.0,679.2,35.0,8540000.0,9.1,65.0,44.0,780,92.0
338,Hundeprutterutchebane,BonBon-Land,Operating,Zierer,Force - One,Unknown,Unknown,Unknown,1993,55.2599,11.8639,Steel,1993-01-01,18.6,14.8,0,4.0,420.0,48.0,8540000.0,9.1,65.0,105.0,650,92.0
339,Indiana Jones et le Temple du Péril,Disneyland Park (Paris),Operating,Intamin,Looping Coaster,Chain lift hill,7 trains with 2 cars. Riders are arranged 2 across in 3 rows for a total of 12 riders per train.,Walt Disney Imagineering,1993,40.2864,-76.6531,Steel,1993-07-30,36.0,91.9,1,4.0,2000.0,7.0,8540000.0,9.1,65.0,75.0,1080,92.0
340,Kumba (roller coaster),Busch Gardens Tampa Bay,Operating,Bolliger & Mabillard,Sitting Coaster,Chain lift hill,4(3 max. in use) trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Werner Stengel,1993,28.0397,-82.4231,Steel,1993-04-20,60.0,91.9,7,3.8,3978.0,54.0,8540000.0,9.1,65.0,174.0,1700,135.0
341,Lightnin' Loops,Other,Unknown,Arrow Development,Unknown,Unknown,Unknown,Unknown,1993,40.1358,-74.4437,Steel,Unknown,45.0,91.9,1,4.0,635.0,44.0,8540000.0,9.1,65.0,66.0,1080,47.0
342,Lightning Bolt (roller coaster),MGM Grand Adventures Theme Park,Removed,Intamin,Family roller coaster,2 lift hills,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Ing.-Büro Stengel GmbH,1993,40.2864,-76.6531,Other,1993-01-01,35.0,91.9,0,4.0,2400.0,48.0,8540000.0,9.1,65.0,105.0,1080,60.0
343,Outlaw (roller coaster),Adventureland (Iowa),Operating,Custom Coasters International,Unknown,Chain-lift,Unknown,Unknown,1993,41.6491,-93.5006,Wood,1993-04-24,48.0,91.9,0,3.2,2800.0,42.0,2000000.0,9.1,65.0,120.0,1080,92.0
344,Superman: Krypton Coaster (Six Flags Mexico),Other,In Production,Vekoma,Unknown,Unknown,Unknown,Unknown,1993,40.2864,-76.6531,Steel,Unknown,49.7,91.9,0,4.0,2300.0,7.0,8540000.0,9.1,65.0,105.0,1080,92.0
345,Thunderation,Silver Dollar City,Operating,Arrow Dynamics,Mine train,Chain lift hill,2 trains with 6 cars. Riders are arranged 2 across in 3 rows for a total of 36 riders per train.,Unknown,1993,36.6684,-93.3379,Steel,1993-04-10,48.0,91.9,0,4.0,3022.0,42.0,8540000.0,9.1,65.0,130.0,1080,92.0
346,Top Gun (Kings Island),Kings Island,Operating,Arrow Dynamics,Suspended Coaster,Chain lift hill,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Unknown,1993,39.3476,-84.2652,Steel,1993-04-09,51.0,91.9,0,2.9,2352.0,48.0,8540000.0,9.1,45.0,112.0,1200,70.0
347,Wild Mouse (Idlewild),Idlewild and Soak Zone,Operating,Vekoma,Unknown,Chain lift,Unknown,Unknown,1993,40.2598,-79.2799,Steel,1985-01-01,30.0,91.9,0,4.0,1640.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
348,Batman: The Ride,Other,Unknown,Bolliger & Mabillard,Inverted Coaster – Batman,Chain lift hill,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Werner Stengel,1994,40.2864,-76.6531,Steel,Unknown,50.0,91.9,5,4.0,2700.0,54.0,8540000.0,9.1,65.0,105.0,1400,84.5
349,The Comet (Great Escape),Great Escape,Operating,Philadelphia Toboggan Coasters,Wooden track coaster,Chain lift hill,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,Herbert Paul Schmeck,1994,43.3514,-73.6851,Wood,1948-01-01,55.0,91.9,0,4.0,4197.0,48.0,8540000.0,9.1,65.0,120.0,720,87.0
350,Condor (roller coaster),Walibi Holland,Operating,Vekoma,Suspended Looping Coaster,Chain Lift Hill,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Unknown,1994,52.4404,5.7615,Steel,1994-05-01,49.7,101.7,5,4.5,2172.0,55.118110236220474,8540000.0,9.1,65.0,122.0,900,92.0
351,Corkscrew (Playland),Playland,Removed,Vekoma,Corkscrew with Bayerncurve,Unknown,Unknown,Unknown,1994,49.2839,-123.0357,Steel,1994-01-01,40.0,91.9,2,4.0,2400.0,48.0,8540000.0,9.1,65.0,89.0,1080,68.0
352,Desperado (roller coaster),Primm Valley Resorts,Closed,Arrow Dynamics,Hypercoaster,Chain,3 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Ron Toomer,1994,35.6142,-115.3844,Steel,1994-08-11,80.0,91.9,0,4.0,5843.0,52.0,30000000.0,9.1,60.0,163.0,900,225.0
353,Diavlo,Himeji Central Park,Operating,Bolliger & Mabillard,Inverted Coaster (Batman),Unknown,Unknown,Unknown,1994,34.8755,134.7637,Steel,1994-07-01,48.5,91.9,5,4.0,2606.0,48.0,8540000.0,9.1,65.0,108.0,1080,92.0
354,Hakugei (roller coaster),Nagashima Spa Land,Operating,Rocky Mountain Construction,I-Box Track,Chain lift hill,3 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Unknown,1994,35.0303,136.7347,Steel,2019-03-28,66.5,180.4,3,4.0,5020.0,3.0,2800000000.0,9.1,80.0,105.0,1080,92.0
355,Hoosier Hurricane,Indiana Beach,Operating,Custom Coasters International,Unknown,Chain,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Dennis McNulty Larry Bill,1994,40.7903,-86.7706,Wood,1994-05-27,51.0,91.9,0,4.0,2891.0,48.0,8540000.0,9.1,65.0,105.0,1080,98.0
356,Hurler (roller coaster),Other,Unknown,"International Coasters, Inc.",Unknown,Chain lift hill,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Unknown,1994,40.2864,-76.6531,Wood,Unknown,50.0,91.9,0,4.1,3157.0,48.0,8540000.0,9.1,65.0,120.0,1100,92.0
357,Nemesis (roller coaster),Alton Towers,Operating,Bolliger & Mabillard,Inverted Coaster – Custom,Chain lift hill,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Werner Stengel,1994,52.9869,-1.8828,Steel,1994-03-19,50.3,42.7,4,3.5,2349.0,7.0,12500000.0,9.1,65.0,80.0,1200,104.0
358,Raptor (Cedar Point),Cedar Point,Operating,Bolliger & Mabillard,Inverted Coaster - Raptor,Chain lift hill,3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Werner Stengel,1994,41.479,-82.6818,Steel,1994-05-07,57.0,91.9,6,4.0,3790.0,54.0,11750000.0,9.1,45.0,136.0,1600,119.0
359,Roller Skater (roller coaster),Kentucky Kingdom,Operating,Vekoma,Junior Coaster (207m),Unknown,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Unknown,1994,38.1967,-85.7476,Steel,1994-04-15,21.7,91.9,0,4.0,679.2,48.0,1200000.0,9.1,65.0,50.0,780,92.0
360,Shockwave (Drayton Manor),Drayton Manor Theme Park,Operating,Intamin,Stand-up roller coaster,Chain lift hill,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Werner Stengel Mark Golding,1994,52.6125,-1.7161,Steel,1994-03-26,53.0,91.9,4,4.0,1640.0,55.0,5000000.0,9.1,65.0,120.0,1080,105.0
361,The Big One (roller coaster),Blackpool Pleasure Beach,Operating,Arrow Dynamics,Hyper Coaster,Chain lift hill,3 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Ron Toomer,1994,53.7892,-3.0553,Steel,1994-05-28,74.0,91.9,0,3.5,5497.0,52.0,15000000.0,9.1,65.0,180.0,1700,205.0
362,Titan (Space World),Space World,Removed,Arrow Dynamics,Hypercoaster,chain lift hill,Unknown,Werner Stengel,1994,33.8748,130.8134,Steel,1994-03-05,71.5,91.9,0,3.7,5019.0,48.0,8540000.0,9.1,60.0,145.0,1500,178.0
363,White Canyon (roller coaster),Yomiuriland,Removed,TOGO,Unknown,Unknown,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,John Pierce AssociatesRoller Coaster Corporation of AmericaD. H. Morgan Manufacturing,1994,35.6258,139.5214,Wood,1994-04-09,52.4,91.9,0,3.5,3608.9,51.0,8540000.0,9.1,53.0,132.0,1008,95.0
364,Zach's Zoomer,Michigan's Adventure,Operating,Custom Coasters International,Unknown,Chain Lift Hill,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Unknown,1994,43.3434,-86.2809,Wood,1994-07-22,49.7,91.9,0,4.0,2300.0,40.0,8540000.0,9.1,40.0,80.0,450,92.0
365,Arkham Asylum – Shock Therapy,Warner Bros. Movie World,SBNO December 2019,Vekoma,Suspended Looping Coaster (765m Extended w/ Helix),Chain lift hill,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Vekoma,1995,-27.9083,153.3119,Steel,1995-12-26,54.7,109.3,5,4.0,2510.0,7.0,10400000.0,9.1,65.0,102.0,1010,92.0
366,Back at the Barnyard Hayride,Nickelodeon Universe,Operating,Zamperla,Dragon,Powered,Unknown,Unknown,1995,44.8542,-93.2422,Steel,1995-01-01,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,90.0,200,92.0
367,Batman: The Ride,Other,Unknown,Bolliger & Mabillard,Inverted Coaster – Batman,Chain lift hill,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Werner Stengel,1995,40.2864,-76.6531,Steel,Unknown,50.0,91.9,5,4.0,2700.0,54.0,8540000.0,9.1,65.0,105.0,1400,84.5
368,The Gold Coaster,Other,Unknown,Arrow Dynamics,Unknown,Chain lift hill,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Unknown,1995,40.2864,-76.6531,Steel,Unknown,52.8,131.2,2,3.0,3000.0,47.24409448818898,8540000.0,9.1,65.0,105.0,400,92.0
369,Cactus Coaster,Other,Unknown,Allan Herschell Company,Little Dipper,Unknown,Unknown,Unknown,1995,40.2864,-76.6531,Steel,Unknown,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,100,92.0
370,Cannonball Express (roller coaster),Pleasurewood Hills,Operating,Anton Schwarzkopf,Jumbo V,Tire lift hill,Unknown,Werner Stengel,1995,52.5062,1.7451,Steel,1995-01-01,34.0,91.9,0,4.0,1738.0,48.0,8540000.0,9.1,65.0,120.0,300,92.0
371,Cannonball Run (roller coaster),Waterville USA,Removed,Custom Coasters International,Unknown,Chain lift hill,Unknown,Unknown,1995,30.2585,-87.6859,Wood,1995-01-01,43.0,91.9,0,4.0,1700.0,42.0,8540000.0,9.1,65.0,105.0,1080,92.0
372,Cobra (La Ronde),Other,Unknown,Intamin,Stand-up roller coaster,Chain lift hill,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Unknown,1995,40.2864,-76.6531,Steel,Unknown,48.0,91.9,1,4.0,2575.0,54.0,8540000.0,9.1,65.0,105.0,1080,87.0
374,Cyclops (roller coaster),Mt. Olympus Water & Theme Park,Operating,Custom Coasters International,Unknown,Chain,Unknown,"Dennis McNulty, Larry Bill",1995,43.6161,-89.7897,Wood,1995-01-01,58.0,91.9,0,4.2,1900.0,48.0,7000000.0,9.1,52.0,60.0,1080,75.0
375,Dragon Khan,PortAventura Park,Operating,Bolliger & Mabillard,Sitting Coaster,Chain lift hill,Unknown,John Wardley (layout) Ing.-Büro Stengel GmbH (mechanical role),1995,41.0875,1.1608,Steel,1995-05-02,65.0,148.0,8,4.0,4216.0,55.118110236220474,8540000.0,9.1,65.0,105.0,1080,161.0
376,Eurostar (roller coaster),Other,Unknown,Intamin,Portable Inverted Coaster,Chain lift hill,3 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Werner Stengel,1995,40.2864,-76.6531,Steel,Unknown,50.2,91.9,4,5.2,2769.02,54.0,20000000.0,9.1,45.0,140.0,1200,90.56
377,Flight Deck (Canada's Wonderland),Canada's Wonderland,Operating,Vekoma,SLC (689m Standard),Chain lift,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Unknown,1995,43.8412,-79.539,Steel,1995-01-01,49.7,109.3,5,4.0,2260.5,51.968503937007874,8540000.0,9.1,65.0,88.0,1040,92.0
378,The Great Nor'easter,Morey's Piers,Operating,Vekoma,Suspended Looping Coaster-Custom,Chain lift hill,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Unknown,1995,38.9893,-74.8023,Steel,1995-05-26,55.0,91.9,5,4.0,2170.0,52.0,5500000.0,9.1,65.0,125.0,1200,95.0
379,Jaguar!,Knott's Berry Farm,Operating,Zierer,Tivoli,Two Drive Tire Lifts,2 trains with 15 cars. Riders are arranged 2 across in a single row for a total of 30 riders per train.,Ingenieur Büro Stengel GmbH,1995,33.8458,-117.9992,Steel,1995-06-17,35.0,91.9,0,4.0,2602.0,48.0,10000000.0,9.1,25.0,120.0,1800,45.0
380,The Raven (roller coaster),Holiday World & Splashin' Safari,Operating,Custom Coasters International,Unknown,Chain Lift Hill,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,"Dennis McNulty, Larry Bill",1995,38.1194,-86.9152,Wood,1995-05-06,50.0,91.9,0,4.0,2800.0,48.031496062992126,2000000.0,9.1,65.0,90.0,960,85.0
381,Sidewinder (Elitch Gardens),Other,Unknown,Arrow Dynamics,Launched Loop,Launch,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Arrow Dynamics,1995,40.2864,-76.6531,Steel,Unknown,45.0,91.9,1,4.0,635.0,48.0,8540000.0,9.1,47.0,66.0,400,47.0
382,Space Mountain: De la Terre à la Lune,Disneyland Park (Paris),Operating,Vekoma,Unknown,Electric Winch Launch / Booster wheels (second lift),5 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Walt Disney ImagineeringWerner Stengel,1995,48.8741,2.7793,Steel,2017-05-07,44.0,91.9,3,4.0,3281.0,47.2,8540000.0,9.1,65.0,135.0,2400,92.0
383,Space Shuttle (roller coaster),Enchanted Kingdom,Operating,Vekoma,Boomerang,Chain lift hill,Unknown,Unknown,1995,14.2819,121.0954,Steel,1995-07-28,47.0,91.9,3,5.2,935.0,48.0,8540000.0,9.1,65.0,108.0,760,92.0
384,T2 (roller coaster),Kentucky Kingdom,Operating,Vekoma,SLC (662m Prototype),Chain lift hill,2 trains with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,Unknown,1995,38.1941,-85.747,Steel,1995-04-08,49.7,91.9,5,4.0,2171.9,20.47244094488189,8540000.0,9.1,65.0,96.0,900,92.0
385,Twister II,Elitch Gardens,Operating,Hensel Phelps Construction,custom,Chain lift hill,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,John Pierce,1995,39.7464,-105.0144,Wood,1995-05-27,55.0,91.9,0,3.1,4640.0,48.0,8540000.0,9.1,56.0,137.0,1200,91.0
386,Viper (Six Flags Great Adventure),Six Flags Great Adventure,Removed,TOGO,Sitdown Looping,Chain lift hill,3 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Unknown,1995,40.139,-74.435,Steel,1995-06-02,48.0,91.9,2,4.0,1670.0,54.0,4000000.0,9.1,65.0,144.0,1080,92.0
387,Viper (Six Flags Great America),Six Flags Great America,Operating,Six Flags,Unknown,Chain lift hill,2 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Six Flags,1995,42.3681,-87.9372,Wood,1995-04-29,50.0,91.9,0,3.6,3458.0,48.0,8540000.0,9.1,53.0,105.0,1000,80.0
388,Viper (Six Flags Over Georgia),Other,Discontinued,Anton Schwarzkopf,Unknown,Unknown,Unknown,Werner Stengel & Reinhold Spieldiener,1995,40.2864,-76.6531,Other,Unknown,49.7,91.9,2,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1300,92.0
389,Backyardigans: Mission to Mars,Movie Park Germany,Operating,Vekoma,Junior Coaster (207m),Unknown,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Unknown,1996,51.6198,6.976,Steel,1996-06-30,21.7,27.9,0,4.0,679.0,3.0,8540000.0,9.1,65.0,44.0,780,92.0
390,The Barnstormer,Magic Kingdom,Operating,Vekoma,Junior Coaster (Custom),Chain lift hill,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Walt Disney Imagineering,1996,28.4205,-81.5784,Steel,1996-10-01,25.0,29.9,0,4.0,679.0,35.0,8540000.0,9.1,65.0,60.0,1080,92.0
391,Colorado Adventure,Phantasialand,Operating,Vekoma,Custom MK-900 M,Unknown,Unknown,Unknown,1996,50.7987,6.8815,Steel,1996-05-11,31.1,91.9,0,4.0,4199.0,48.0,8540000.0,9.1,65.0,175.0,2300,92.0
392,Flight of Fear,Other,Unknown,Premier Rides,LIM Catapult,LIM Launch,4 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Werner Stengel,1996,40.2864,-76.6531,Steel,Unknown,54.0,91.9,4,4.5,2705.0,54.0,8540000.0,6.04,65.0,60.0,2000,92.0
393,Fujiyama (roller coaster),Fuji-Q Highland,Operating,TOGO,Hypercoaster,Chain,Unknown,Morgan,1996,35.4859,138.777,Steel,1996-07-01,81.0,91.9,0,3.5,6709.0,43.3,40000000.0,9.1,65.0,216.0,1100,230.0
394,Gadget's Go Coaster,Other,Unknown,Vekoma,Junior Coaster (207m),Unknown,2 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,Walt Disney Imagineering,1996,40.2864,-76.6531,Steel,Unknown,21.7,91.9,0,4.0,679.2,35.0,8540000.0,9.1,65.0,44.0,780,92.0
395,The Great White (Morey's Piers),Morey's Piers,Operating,Custom Coasters International,Unknown,Chain lift,Unknown,Dennis McNulty,1996,38.9865,-74.8107,Wood,1996-06-10,50.0,91.9,0,4.0,3300.0,48.0,5500000.0,9.1,50.0,120.0,1200,100.0
396,High Roller (Stratosphere),Stratosphere Tower,Removed,S&MC,Family Coaster,Tires,Unknown,Premier Rides,1996,36.1474,-115.1554,Steel,1996-04-29,30.0,91.9,0,2.0,865.0,48.0,900.0,9.1,13.0,40.0,700,20.0
397,Megafobia,Oakwood Theme Park,Operating,Custom Coasters International,Unknown,Unknown,Unknown,"John Wardley, Dennis McNulty, Larry Bill",1996,51.7807,-4.8056,Wood,1996-04-30,48.0,91.9,0,2.75,2956.0,11.0,8540000.0,26.98,55.0,100.0,1080,92.0
398,Montu (roller coaster),Busch Gardens Tampa Bay,Operating,Bolliger & Mabillard,Inverted Coaster – Custom,Chain lift hill,3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Werner Stengel,1996,28.0347,-82.4175,Steel,1996-05-16,60.0,91.9,7,3.8,3983.0,54.0,20000000.0,9.1,50.0,180.0,1710,128.0
399,Pegasus (Mt. Olympus Water and Theme Park),Mt. Olympus Water & Theme Park,Operating,Custom Coasters International,Unknown,Chain Lift Hill,Unknown,Unknown,1996,43.614,-89.7898,Wood,1996-01-01,40.0,91.9,0,4.0,2300.0,40.0,8540000.0,9.1,50.0,105.0,1080,45.0
400,Rougarou (roller coaster),Cedar Point,Operating,Bolliger & Mabillard,Floorless Coaster,Chain lift hill,3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Werner Stengel,1996,41.4826,-82.6874,Steel,2015-05-09,60.0,91.9,4,4.0,3900.0,21.25984251968504,12000000.0,9.1,52.0,160.0,1800,137.0
402,Santa Monica West Coaster,Pacific Park,Operating,D. H. Morgan Manufacturing,Unknown,Lift hill,Single train with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Unknown,1996,40.2864,-76.6531,Steel,1996-05-25,35.0,91.9,0,4.0,1300.0,42.0,8540000.0,9.1,65.0,105.0,1080,92.0
403,Skull Mountain,Six Flags Great Adventure,Operating,Intamin,Indoor Roller Coaster,Drive tire lift hill,3 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Unknown,1996,40.1346,-74.4419,Steel,1996-06-03,33.0,91.9,0,2.3,1377.0,44.0,5000000.0,9.1,65.0,84.0,1596,37.0
404,The Barnstormer at Goofy's Wiseacre Farm,Magic Kingdom,Operating,Vekoma,Junior Coaster (Custom),Chain lift hill,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Walt Disney Imagineering,1996,28.4205,-81.5784,Steel,1996-10-01,25.0,29.9,0,4.0,679.0,35.0,8540000.0,9.1,65.0,60.0,1080,92.0
405,The Joker's Revenge,Other,Unknown,Vekoma,Hurricane,Chain lift hill,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Unknown,1996,40.2864,-76.6531,Steel,Unknown,40.0,91.9,3,3.5,1936.0,48.0,4300000.0,9.1,40.0,84.0,1200,69.0
406,The Mind Eraser (Geauga Lake),Other,Unknown,Vekoma,Boomerang,Catch car and chain lift hill,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Unknown,1996,40.2864,-76.6531,Steel,Unknown,47.0,91.9,6,5.2,935.0,48.0,8540000.0,9.1,65.0,108.0,760,108.0
407,The Walking Dead: The Ride,Thorpe Park Resort,Operating,Vekoma,Enigma,Drive tire lift hill,5 trains with 5 cars. Riders are arranged 2 across in a single row for a total of 10 riders per train.,Vekoma,1996,51.4036,-0.5132,Steel,1996-03-23,27.7,91.9,0,2.4,1312.3,7.0,8540000.0,9.1,65.0,120.0,700,32.0
408,Timber Terror,Silverwood Theme Park,Operating,Custom Coasters International,Unknown,Unknown,Unknown,Gary Norton,1996,47.9044,-116.7094,Wood,1996-01-01,55.0,91.9,0,4.0,2700.0,42.0,8540000.0,9.1,65.0,92.0,1080,92.0
